dateTime,SBUX,MAPI.JK,MAPB.JK,FAST.JK,MCD
2023-10-30,92.64093017578125,1755.0,1915.0,765.0,260.1499938964844
2023-10-31,91.73590087890625,1735.0,1970.0,750.0,262.1700134277344
2023-11-01,90.85076904296875,1605.0,1800.0,740.0,261.9700012207031
2023-11-02,99.46344757080078,1710.0,1860.0,760.0,266.8500061035156
2023-11-03,102.08901977539062,1670.0,1860.0,775.0,267.8699951171875
2023-11-06,103.46147155761719,1685.0,1950.0,745.0,268.9100036621094
2023-11-07,103.11338806152344,1600.0,1990.0,745.0,268.6700134277344
2023-11-08,103.7300033569336,1655.0,1990.0,750.0,267.489990234375
2023-11-09,102.2300033569336,1665.0,1990.0,745.0,266.9100036621094
2023-11-10,104.33000183105469,1685.0,1990.0,755.0,267.7900085449219
2023-11-13,103.51000213623047,1610.0,1935.0,740.0,269.20001220703125
2023-11-14,105.5999984741211,1590.0,1985.0,750.0,271.489990234375
2023-11-15,106.02999877929688,1685.0,1985.0,745.0,270.3900146484375
2023-11-16,107.20999908447266,1640.0,1985.0,755.0,276.1199951171875
2023-11-17,105.56999969482422,1660.0,1985.0,745.0,275.75
2023-11-20,104.30000305175781,1650.0,2090.0,740.0,279.0299987792969
2023-11-21,103.69000244140625,1645.0,1970.0,755.0,280.4700012207031
2023-11-22,103.44000244140625,1675.0,1900.0,745.0,281.92999267578125
2023-11-24,102.77999877929688,1785.0,1955.0,760.0,282.5400085449219
2023-11-27,102.36000061035156,1780.0,1900.0,755.0,281.8399963378906
2023-11-28,101.18000030517578,1735.0,1910.0,760.0,282.0899963378906
2023-11-29,99.66000366210938,1730.0,1910.0,760.0,280.3800048828125
